Region,WRI,Exposure,Vulnerability,Susceptibility,Lack of Coping Capabilities, Lack of Adaptive Capacities,year,Continent,,,Region_1,year_1,Attribute,Value
Armenia,6.21,14.51,42.78,21.24,71.09,36.02,2014,2,,,Belize,2011,Lack of Coping Capabilities,69.04
Bosnia and Herz.,6.2,14.02,44.26,20.63,69.64,42.51,2014,1,,,Belize,2011,Lack of Adaptive Capacities,43.78
North Macedonia,6.14,14.38,42.7,20.88,64.38,42.83,2014,3,,,North Macedonia,2011,WRI,5.86
Yemen,6.07,9.04,67.18,45.77,91.03,64.74,2014,2,,,North Macedonia,2011,Exposure,14.28
Azerbaijan,6.04,13.16,45.9,22.39,70.36,44.96,2014,2,,,North Macedonia,2011,Vulnerability,41.03
Venezuela,5.85,13.15,44.48,23.64,74.24,35.56,2014,4,,,North Macedonia,2011,Susceptibility,19.28
Laos,5.75,9.55,60.21,41.69,84,54.96,2014,2,,,North Macedonia,2011,Lack of Coping Capabilities,64.74
Namibia,5.61,10.41,53.92,45.7,71.02,45.04,2014,0,,,North Macedonia,2011,Lack of Adaptive Capacities,39.05
Syria,5.58,10.56,52.82,26.28,84.38,47.82,2014,3,,,Laos,2011,WRI,5.8
Tunisia,5.47,12.45,43.96,21.02,72.51,38.36,2014,0,,,Laos,2011,Exposure,9.7
Hungary,5.46,15.61,34.96,16.76,53.27,34.86,2014,3,,,Laos,2011,Vulnerability,59.78
Botswana,5.45,10.55,51.62,37.03,67.31,50.52,2014,0,,,Laos,2011,Susceptibility,47.38
South Africa,5.38,12.08,44.55,30.38,69.58,33.69,2014,0,,,Laos,2011,Lack of Coping Capabilities,84.77
Turkey,5.34,12.25,43.59,20.54,67.57,42.67,2014,2,,,Laos,2011,Lack of Adaptive Capacities,47.2
Nepal,5.29,9.16,57.73,42.42,80.38,50.4,2014,2,,,Iraq,2011,WRI,5.77
Bolivia,5.04,8.98,56.14,40.91,80.19,47.33,2014,2,,,Iraq,2011,Exposure,9.18
Lebanon,5.01,11.14,44.94,20.21,70,44.61,2014,2,,,Iraq,2011,Vulnerability,62.87
Moldova,4.92,11.11,44.31,22.92,68.06,41.94,2014,4,,,Iraq,2011,Susceptibility,39.33
Iran,4.88,10.19,47.92,20.05,81.58,42.13,2014,2,,,Iraq,2011,Lack of Coping Capabilities,89.09
Iraq,4.84,8.08,59.82,30.06,89.3,60.1,2014,2,,,Iraq,2011,Lack of Adaptive Capacities,60.2
South Korea,4.8,14.89,32.26,15.02,46.6,35.14,2014,1,,,Tunisia,2011,WRI,5.72
Jordan,4.75,10.53,45.09,22.03,68.79,44.44,2014,2,,,Tunisia,2011,Exposure,12.43
Eq. Guinea,4.71,8.22,57.28,30.19,85.09,56.58,2014,1,,,Tunisia,2011,Vulnerability,46.04
Ireland,4.52,14.74,30.64,16.05,46.57,29.31,2014,3,,,Tunisia,2011,Susceptibility,22.86
Italy,4.48,13.85,32.36,17.27,54.41,25.39,2014,3,,,Tunisia,2011,Lack of Coping Capabilities,68.97
Brazil,4.3,9.53,45.09,25.53,66.6,43.15,2014,1,,,Tunisia,2011,Lack of Adaptive Capacities,46.3
Croatia,4.28,11.53,37.13,18.18,55.97,37.24,2014,3,,,South Africa,2011,WRI,5.71
Bulgaria,4.21,11.66,36.08,17.57,56.56,34.1,2014,3,,,South Africa,2011,Exposure,12.42
New Zealand,4.2,15.44,27.22,16.74,43.79,21.13,2014,4,,,South Africa,2011,Vulnerability,46.02
Bahamas,4.19,10.71,39.09,19.06,53.43,44.8,2014,1,,,South Africa,2011,Susceptibility,31.04
Uruguay,4,11.1,36.05,21.56,50.8,35.78,2014,1,,,South Africa,2011,Lack of Coping Capabilities,67.72
Libya,4,7.8,51.27,26.16,76.53,51.1,2014,0,,,South Africa,2011,Lack of Adaptive Capacities,39.31
Australia,3.93,15.05,26.1,15.05,42.29,20.96,2014,4,,,Botswana,2011,WRI,5.56
United States of America,3.88,12.25,31.67,16.47,48.57,29.98,2014,3,,,Botswana,2011,Exposure,11.52
Russia,3.85,9.38,41.05,21.59,58.8,42.76,2014,3,,,Botswana,2011,Vulnerability,48.26
Kazakhstan,3.74,9.11,41.09,18,63.57,41.72,2014,2,,,Botswana,2011,Susceptibility,30.25
Paraguay,3.74,7.03,53.18,32.32,79.12,48.1,2014,1,,,Botswana,2011,Lack of Coping Capabilities,68.14
Argentina,3.68,9.55,38.55,21.04,59.72,34.9,2014,1,,,Botswana,2011,Lack of Adaptive Capacities,46.4
Slovenia,3.64,11.59,31.42,16.02,51.15,27.08,2014,3,,,Hungary,2011,WRI,5.49
Portugal,3.61,10.93,33.01,17.91,48.38,32.73,2014,3,,,Hungary,2011,Exposure,15.37
Austria,3.58,13.6,26.31,14.36,37.61,26.95,2014,3,,,Hungary,2011,Vulnerability,35.73
Slovakia,3.57,10.21,34.92,14.53,55.66,34.57,2014,3,,,Hungary,2011,Susceptibility,16.52
United Kingdom,3.54,11.6,30.49,16.57,47.08,27.82,2014,2,,,Hungary,2011,Lack of Coping Capabilities,54.58
Czechia,3.46,10.82,32.02,15.07,50.87,30.12,2014,3,,,Hungary,2011,Lack of Adaptive Capacities,36.08
Latvia,3.45,9.26,37.3,21.12,55.19,35.57,2014,3,,,Serbia,2011,WRI,5.44
Belgium,3.41,11.66,29.23,15.59,42.38,29.7,2014,3,,,Serbia,2011,Exposure,13.1
Kuwait,3.34,9.04,36.98,11.53,66.24,33.17,2014,2,,,Serbia,2011,Vulnerability,41.55
Poland,3.28,9.79,33.51,17.67,53.16,29.68,2014,3,,,Serbia,2011,Susceptibility,19.87
Spain,3.2,10.23,31.27,16.08,52,25.74,2014,3,,,Serbia,2011,Lack of Coping Capabilities,66.05
Canada,3.14,10.25,30.61,15.19,46.45,30.19,2014,1,,,Serbia,2011,Lack of Adaptive Capacities,38.74
Belarus,3.12,8.46,36.89,16.87,61.69,32.12,2014,3,,,Turkey,2011,WRI,5.38
Ukraine,3.11,7.5,41.42,19.1,61.15,44.02,2014,3,,,Turkey,2011,Exposure,11.81
Lithuania,3.01,8.88,33.91,18.58,49.36,33.78,2014,3,,,Turkey,2011,Vulnerability,45.57
Germany,3.01,11.41,26.37,15.41,37.73,25.97,2014,3,,,Turkey,2011,Susceptibility,21.41
Mongolia,3,6.52,46.07,31.05,64.67,42.47,2014,2,,,Turkey,2011,Lack of Coping Capabilities,68.14
Denmark,2.93,10.87,27,15.08,39.49,26.42,2014,3,,,Turkey,2011,Lack of Adaptive Capacities,47.15
Cyprus,2.76,7.44,37.13,14.85,58.05,38.48,2014,2,,,Bolivia,2011,WRI,5.16
Oman,2.74,6.41,42.75,15.98,63.51,48.76,2014,2,,,Bolivia,2011,Exposure,9.34
France,2.69,9.25,29.08,16.13,43.29,27.83,2014,3,,,Bolivia,2011,Vulnerability,55.23
Luxembourg,2.52,9.12,27.66,12.87,41.44,28.67,2014,3,,,Bolivia,2011,Susceptibility,43.45
Seychelles,2.51,5.99,41.86,22.44,63.2,39.93,2014,0,,,Bolivia,2011,Lack of Coping Capabilities,80.64
Switzerland,2.48,9.56,25.98,14.93,37.92,25.1,2014,3,,,Bolivia,2011,Lack of Adaptive Capacities,41.61
Estonia,2.43,7.23,33.57,18.67,51.15,30.89,2014,3,,,Jordan,2011,WRI,5.13
Israel,2.38,6.41,37.2,19.15,58.93,33.52,2014,2,,,Jordan,2011,Exposure,11.5
Norway,2.31,8.58,26.86,14.41,40.05,26.13,2014,3,,,Jordan,2011,Vulnerability,44.61
Egypt,2.29,4.72,48.56,21.34,77.86,46.48,2014,0,,,Jordan,2011,Susceptibility,24.18
Singapore,2.25,7.82,28.78,14.41,49.2,22.73,2014,2,,,Jordan,2011,Lack of Coping Capabilities,67.33
Finland,2.24,8.19,27.38,15.6,39.39,27.17,2014,3,,,Jordan,2011,Lack of Adaptive Capacities,42.33
Sweden,2.19,7.97,27.49,15.39,40.9,26.18,2014,3,,,Iran,2011,WRI,5.11
United Arab Emirates,1.91,5.93,32.27,10.47,56.51,29.84,2014,2,,,Iran,2011,Exposure,10.4
Bahrain,1.78,4.27,41.56,13.04,66.57,45.07,2014,2,,,Iran,2011,Vulnerability,49.07
Kiribati,1.72,3.05,56.45,42.31,83.69,43.36,2014,4,,,Iran,2011,Susceptibility,21.48
Iceland,1.56,5.67,27.46,15,43.15,24.21,2014,3,,,Iran,2011,Lack of Coping Capabilities,80.01
Grenada,1.44,3.13,46.15,24.99,69.03,44.43,2014,1,,,Iran,2011,Lack of Adaptive Capacities,45.73
Barbados,1.21,3.46,34.95,16.85,50.36,37.63,2014,1,,,Lebanon,2011,WRI,5.01
Saudi Arabia,1.17,2.93,39.82,15.19,70.05,34.22,2014,2,,,Lebanon,2011,Exposure,11.12
Malta,0.62,1.65,37.67,15.28,59.58,38.16,2014,3,,,Lebanon,2011,Vulnerability,45.03
Qatar,0.08,0.28,30.3,8.97,44.76,37.16,2014,2,,,Lebanon,2011,Susceptibility,21.05
Qatar,0.3,0.85,34.8,9.03,65.03,30.34,2021,2,,,Lebanon,2011,Lack of Coping Capabilities,70.28
Malta,0.69,2.31,29.96,15.04,54.76,20.09,2021,3,,,Lebanon,2011,Lack of Adaptive Capacities,43.75
St. Vin. and Gren.,0.7,1.62,43,28.16,69.86,30.97,2021,2,,,Moldova,2011,WRI,4.78
Saudi Arabia,0.94,2.58,36.46,13.83,68.21,27.34,2021,2,,,Moldova,2011,Exposure,10.24
Grenada,1.06,2.4,43.98,26.36,69.21,36.38,2021,1,,,Moldova,2011,Vulnerability,46.74
Barbados,1.37,3.61,37.96,20.66,60.11,33.12,2021,1,,,Moldova,2011,Susceptibility,25.61
Maldives,1.69,4.18,40.39,15.59,65.82,39.76,2021,2,,,Moldova,2011,Lack of Coping Capabilities,71.32
Iceland,1.71,7.14,23.95,13.99,43.2,14.67,2021,3,,,Moldova,2011,Lack of Adaptive Capacities,43.29
Egypt,1.82,3.76,48.33,22.22,83.15,39.62,2021,0,,,Italy,2011,WRI,4.74
Estonia,1.99,6.51,30.52,16.6,53.61,21.35,2021,3,,,Italy,2011,Exposure,14.14
Finland,2,8.26,24.24,15.78,41.2,15.75,2021,3,,,Italy,2011,Vulnerability,33.54
Switzerland,2.04,9.01,22.68,13.97,38.92,15.14,2021,3,,,Italy,2011,Susceptibility,16.07
Lithuania,2.18,7.35,29.72,18.17,50.01,20.99,2021,3,,,Italy,2011,Lack of Coping Capabilities,55.83
Sweden,2.25,8.8,25.62,15.63,45.43,15.81,2021,3,,,Italy,2011,Lack of Adaptive Capacities,28.7
Singapore,2.5,8.88,28.1,10.34,54.01,19.94,2021,2,,,Bahamas,2011,WRI,4.52
France,2.51,9.63,26.06,16.68,45.1,16.41,2021,3,,,Bahamas,2011,Exposure,11.08
Luxembourg,2.53,9.57,26.41,11.86,47.15,20.23,2021,3,,,Bahamas,2011,Vulnerability,40.81
Oman,2.54,6.04,42.02,23.68,66.65,35.73,2021,2,,,Bahamas,2011,Susceptibility,15.89
São Tomé and Principe,2.57,4.54,56.6,45.67,77.23,46.9,2021,0,,,Bahamas,2011,Lack of Coping Capabilities,65.39
Belarus,2.64,8,32.96,16.68,56.36,25.84,2021,3,,,Bahamas,2011,Lack of Adaptive Capacities,41.15
Germany,2.66,11.51,23.12,15.02,38.35,16,2021,3,,,Australia,2011,WRI,4.28
Belgium,2.71,11.41,23.79,14.66,42.49,14.22,2021,3,,,Australia,2011,Exposure,14.72
Ukraine,2.72,6.92,39.36,18.83,68.43,30.81,2021,3,,,Australia,2011,Vulnerability,29.09
Denmark,2.79,11.92,23.43,14.9,40.09,15.3,2021,3,,,Australia,2011,Susceptibility,14.52
Canada,2.81,10.36,27.1,15.07,47.49,18.73,2021,1,,,Australia,2011,Lack of Coping Capabilities,46.5
Israel,2.81,8.45,33.3,18.51,58.57,22.83,2021,2,,,Australia,2011,Lack of Adaptive Capacities,26.26
Norway,2.87,10.84,26.48,13.8,42.79,22.86,2021,3,,,New Zealand,2011,WRI,4.28
Bahrain,2.93,7.33,39.94,15.31,76.81,27.71,2021,2,,,New Zealand,2011,Exposure,15.73
Mongolia,2.98,6.91,43.09,29.02,64.44,35.81,2021,2,,,New Zealand,2011,Vulnerability,27.19
Latvia,3.01,8.8,34.21,18.9,60.06,23.67,2021,3,,,New Zealand,2011,Susceptibility,16.15
Austria,3.06,13.08,23.41,13.87,41,15.35,2021,3,,,New Zealand,2011,Lack of Coping Capabilities,40.54
Czechia,3.06,10.76,28.46,15.09,49.48,20.8,2021,3,,,New Zealand,2011,Lack of Adaptive Capacities,24.89
Poland,3.07,9.45,32.46,15.56,59.65,22.17,2021,3,,,Brazil,2011,WRI,4.26
South Korea,3.13,11.4,27.45,13.36,48.48,20.5,2021,1,,,Brazil,2011,Exposure,9.7
United Arab Emirates,3.14,10.48,29.97,9.82,54.52,25.57,2021,2,,,Brazil,2011,Vulnerability,43.87
Cyprus,3.21,8.97,35.78,15.24,67.63,24.46,2021,2,,,Brazil,2011,Susceptibility,26.08
Bhutan,3.25,6.9,47.12,23.72,72.44,45.21,2021,2,,,Brazil,2011,Lack of Coping Capabilities,67.81
Slovakia,3.33,10.1,32.97,14.84,59.15,24.93,2021,3,,,Brazil,2011,Lack of Adaptive Capacities,37.73
Slovenia,3.42,11.4,30.04,14.87,56.15,19.09,2021,3,,,Ireland,2011,WRI,4.15
Libya,3.47,7.37,47.12,22.65,83.76,34.94,2021,0,,,Ireland,2011,Exposure,14.09
Kazakhstan,3.48,9.34,37.29,17.64,65.09,29.15,2021,2,,,Ireland,2011,Vulnerability,29.46
United Kingdom,3.51,12.58,27.92,16.18,48.71,18.87,2021,2,,,Ireland,2011,Susceptibility,14.67
Portugal,3.52,11.6,30.38,16.6,51.49,23.04,2021,3,,,Ireland,2011,Lack of Coping Capabilities,40.81
Argentina,3.52,9.6,36.63,20.35,60.27,29.27,2021,1,,,Ireland,2011,Lack of Adaptive Capacities,32.9
Russia,3.53,9.5,37.21,18.64,65.83,27.15,2021,3,,,Czechia,2011,WRI,4.15
Paraguay,3.56,7.43,47.98,24.11,79.92,39.9,2021,1,,,Czechia,2011,Exposure,11
Spain,3.62,11.77,30.73,15.86,58.22,18.11,2021,3,,,Czechia,2011,Vulnerability,37.75
Botswana,3.94,8.23,47.86,32.44,71.83,39.3,2021,0,,,Czechia,2011,Susceptibility,14.37
United States of America,3.98,13.03,30.58,15.92,54.15,21.68,2021,3,,,Czechia,2011,Lack of Coping Capabilities,66.67
Moldova,4,9.63,41.51,21.56,68.87,34.1,2021,4,,,Czechia,2011,Lack of Adaptive Capacities,32.22
Jordan,4.11,9.24,44.47,22.59,68.26,42.56,2021,2,,,South Korea,2011,WRI,4.14
Croatia,4.16,12.04,34.55,17.36,63.67,22.63,2021,3,,,South Korea,2011,Exposure,12.34
Bulgaria,4.16,11.93,34.9,21.11,58.78,24.8,2021,3,,,South Korea,2011,Vulnerability,33.55
Bahamas,4.27,11.63,36.74,17.68,58.92,33.63,2021,1,,,South Korea,2011,Susceptibility,14.67
Kuwait,4.32,11.9,36.28,14.12,70.09,24.64,2021,2,,,South Korea,2011,Lack of Coping Capabilities,50.82
Laos,4.46,8.01,55.64,32.86,82.91,51.14,2021,2,,,South Korea,2011,Lack of Adaptive Capacities,35.17
Ireland,4.49,16.68,26.9,15.4,47.66,17.65,2021,3,,,Paraguay,2011,WRI,4.12
Saint Lucia,4.52,9.83,45.96,23.68,74.26,39.95,2021,1,,,Paraguay,2011,Exposure,7.68
Australia,4.54,18.07,25.12,15.66,43.67,16.02,2021,4,,,Paraguay,2011,Vulnerability,53.63
Nepal,4.66,8.51,54.76,32.9,83.28,48.1,2021,2,,,Paraguay,2011,Susceptibility,34.37
Bosnia and Herz.,4.68,10.89,43.01,18.77,74.61,35.65,2021,1,,,Paraguay,2011,Lack of Coping Capabilities,81.99
Bolivia,4.71,9.49,49.67,31.83,79.79,37.38,2021,2,,,Paraguay,2011,Lack of Adaptive Capacities,44.51
Italy,4.74,15.02,31.58,16.9,60.29,17.55,2021,3,,,United Arab Emirates,2011,WRI,4.09
Seychellen,4.89,11.94,40.97,18.23,64.82,39.86,2021,3,,,United Arab Emirates,2011,Exposure,10.48
New Zealand,4.96,17.59,28.2,16.06,47.45,21.08,2021,4,,,United Arab Emirates,2011,Vulnerability,38.99
Brazil,4.97,11.35,43.8,22.68,76.22,32.51,2021,1,,,United Arab Emirates,2011,Susceptibility,10.85
Iran,5.03,10.9,46.15,21.67,82.62,34.17,2021,2,,,United Arab Emirates,2011,Lack of Coping Capabilities,58.78
Hungary,5.07,15.24,33.25,16.07,58.89,24.78,2021,3,,,United Arab Emirates,2011,Lack of Adaptive Capacities,47.35
Turkey,5.11,12.57,40.65,18.09,72.44,31.42,2021,2,,,Bulgaria,2011,WRI,4.08
Armenia,5.4,14.23,37.92,19.62,65.37,28.76,2021,2,,,Bulgaria,2011,Exposure,11.08
Serbia,5.42,13.84,39.14,21.89,68.39,27.15,2021,3,,,Bulgaria,2011,Vulnerability,36.78
Lebanon,5.49,11.61,47.31,20.26,81,40.66,2021,2,,,Bulgaria,2011,Susceptibility,17.3
Samoa,5.54,11.46,48.32,25.56,79.83,39.56,2021,4,,,Bulgaria,2011,Lack of Coping Capabilities,57.92
Georgia,5.69,15.14,37.56,22.15,59.22,31.32,2021,2,,,Bulgaria,2011,Lack of Adaptive Capacities,35.12
Romania,5.71,15.39,37.11,19.47,63.14,28.71,2021,3,,,Kazakhstan,2011,WRI,4.04
Yemen,5.72,8.27,69.12,44.85,93.17,69.34,2021,2,,,Kazakhstan,2011,Exposure,9.71
Cuba,5.75,16.3,35.26,19.7,53.28,32.79,2021,1,,,Kazakhstan,2011,Vulnerability,41.55
Syria,5.8,10.63,54.54,27.32,90.76,45.54,2021,3,,,Kazakhstan,2011,Susceptibility,20.35
Iraq,5.8,10.4,55.77,26.86,87.89,52.57,2021,2,,,Kazakhstan,2011,Lack of Coping Capabilities,60.96
Azerbaijan,5.81,14.21,40.9,18.46,72,32.24,2021,2,,,Kazakhstan,2011,Lack of Adaptive Capacities,43.35
North Macedonia,5.82,14.48,40.21,18.81,70.58,31.25,2021,3,,,Uruguay,2011,WRI,3.94
Morocco,5.82,12.12,48,25.02,79.35,39.63,2021,0,,,Uruguay,2011,Exposure,10.84
Tajikistan,5.84,12.15,48.06,32.57,76.27,35.35,2021,2,,,Uruguay,2011,Vulnerability,36.35
Tunisia,5.85,13.08,44.74,20.9,75.5,37.83,2021,0,,,Uruguay,2011,Susceptibility,21.19
Turkmenistan,5.85,12.25,47.72,27.99,76.76,38.42,2021,2,,,Uruguay,2011,Lack of Coping Capabilities,50.74
Namibia,5.86,11.3,51.89,42.89,74.11,38.66,2021,0,,,Uruguay,2011,Lack of Adaptive Capacities,37.13
China,5.87,14.29,41.08,21.64,71.42,30.17,2021,2,,,Argentina,2011,WRI,3.77
Mexico,6.03,14.2,42.44,20.86,74.25,32.2,2021,1,,,Argentina,2011,Exposure,9.71
South Africa,6.46,13.47,47.93,30.9,73.35,39.54,2021,0,,,Argentina,2011,Vulnerability,38.8
Thailand,6.52,14.79,44.06,17.62,78.65,35.91,2021,2,,,Argentina,2011,Susceptibility,23.22
Gabon,6.6,12.75,51.79,32.58,75.08,47.71,2021,0,,,Argentina,2011,Lack of Coping Capabilities,60.34
India,6.65,12.52,53.09,32.15,78.7,48.42,2021,2,,,Argentina,2011,Lack of Adaptive Capacities,32.85
Lesotho,6.66,11.1,59.98,43.97,81.5,54.47,2021,0,,,São Tomé and Principe,2011,WRI,3.73
Colombia,6.72,14.83,45.32,22.8,77.04,36.13,2021,1,,,São Tomé and Principe,2011,Exposure,6.28
Montenegro,6.75,17.8,37.92,18.57,68.2,26.99,2021,3,,,São Tomé and Principe,2011,Vulnerability,59.45
Peru,6.75,14.92,45.26,26.29,76.22,33.27,2021,1,,,São Tomé and Principe,2011,Susceptibility,45.58
Pakistan,6.8,11.95,56.88,33.57,84.71,52.37,2021,2,,,São Tomé and Principe,2011,Lack of Coping Capabilities,80.26
Congo,6.84,10.56,64.76,54.39,88.63,51.26,2021,0,,,São Tomé and Principe,2011,Lack of Adaptive Capacities,52.52
Eritrea,6.87,9.66,71.09,63.28,89.71,60.29,2021,0,,,Slovenia,2011,WRI,3.72
Greece,6.93,22.23,31.18,17.42,58.93,17.2,2021,3,,,Slovenia,2011,Exposure,11.75
Micronesia,7.11,14.03,50.71,31.04,72.21,48.89,2021,1,,,Slovenia,2011,Vulnerability,31.65
Kyrgyzstan,7.25,16.49,43.96,24.59,75.22,32.07,2021,2,,,Slovenia,2011,Susceptibility,14.18
Myanmar,7.25,12.92,56.11,29.42,86.27,52.64,2021,2,,,Slovenia,2011,Lack of Coping Capabilities,49.12
Eq. Guinea,7.29,12.73,57.28,40.64,86.57,44.64,2021,1,,,Slovenia,2011,Lack of Adaptive Capacities,31.65
Suriname,7.38,15.24,48.41,28.82,74.7,41.7,2021,1,,,United States of America,2011,WRI,3.72
Sri Lanka,7.55,15.99,47.19,23.05,76.35,42.17,2021,2,,,United States of America,2011,Exposure,12
Rwanda,7.55,12.37,61.04,52.14,79.44,51.55,2021,0,,,United States of America,2011,Vulnerability,30.98
Central African Rep.,7.64,10.08,75.83,70.52,90.56,66.41,2021,0,,,United States of America,2011,Susceptibility,16.8
Algeria,7.66,16.61,46.14,22.24,76.81,39.36,2021,0,,,United States of America,2011,Lack of Coping Capabilities,48.65
Zambia,7.72,12.12,63.67,61.69,81.31,48,2021,0,,,United States of America,2011,Lack of Adaptive Capacities,27.49
Malaysia,7.73,19.09,40.49,17.05,71.19,33.22,2021,2,,,Croatia,2011,WRI,3.71
Panama,7.76,17.74,43.74,23.03,73.03,35.15,2021,1,,,Croatia,2011,Exposure,11.17
eSwatini,7.85,13.54,57.98,42.35,82.62,48.98,2021,0,,,Croatia,2011,Vulnerability,33.22
Uzbekistan,7.91,16.28,48.56,30.25,75.65,39.79,2021,2,,,Croatia,2011,Susceptibility,16.63
Ethiopia,7.93,11.75,67.52,56.76,87.35,58.45,2021,0,,,Croatia,2011,Lack of Coping Capabilities,50.69
Netherlands,7.98,31.75,25.13,14.66,44.34,16.4,2021,3,,,Croatia,2011,Lack of Adaptive Capacities,32.35
Venezuela,7.99,16.02,49.86,25.75,86.35,37.47,2021,4,,,Kuwait,2011,WRI,3.71
Belize,8.03,16.73,47.97,28.2,74.46,41.26,2021,1,,,Kuwait,2011,Exposure,8.96
Afghanistan,8.18,12.27,66.63,48.57,91.4,59.93,2021,2,,,Kuwait,2011,Vulnerability,41.35
Mauritania,8.2,13.15,62.37,38.15,86.97,61.98,2021,0,,,Kuwait,2011,Susceptibility,12.68
Albania,8.23,19.77,41.63,20.1,74.77,30.03,2021,3,,,Kuwait,2011,Lack of Coping Capabilities,65.33
Sudan,8.47,13.13,64.49,44.93,92.3,56.25,2021,0,,,Kuwait,2011,Lack of Adaptive Capacities,46.04
Uganda,8.64,12.88,67.07,61.54,88.05,51.63,2021,0,,,Libya,2011,WRI,3.67
Guinea,8.65,12.7,68.08,51.87,89.08,63.29,2021,0,,,Libya,2011,Exposure,7.53
Trinidad and Tobago,8.67,22.58,38.41,18.99,61.24,34.99,2021,1,,,Libya,2011,Vulnerability,48.74
Dem. Rep. Congo,8.78,11.86,74.04,67.76,92.8,61.55,2021,3,,,Libya,2011,Susceptibility,24.12
Ecuador,8.82,18.75,47.05,24.96,76.45,39.74,2021,1,,,Libya,2011,Lack of Coping Capabilities,73.53
Liberia,8.92,13.48,66.17,55.63,87.16,55.73,2021,0,,,Libya,2011,Lack of Adaptive Capacities,48.57
Tanzania,8.94,13.97,64,56.49,83.21,52.3,2021,2,,,Portugal,2011,WRI,3.62
Malawi,8.94,13.35,66.98,59.46,84.68,56.79,2021,0,,,Portugal,2011,Exposure,11.02
Mauritius,9.04,23.85,37.92,17.39,58.21,38.17,2021,0,,,Portugal,2011,Vulnerability,32.85
Mozambique,9.11,13.26,68.73,62.6,88.45,55.13,2021,0,,,Portugal,2011,Susceptibility,17.34
Zimbabwe,9.3,14.51,64.11,55.02,88.44,48.88,2021,0,,,Portugal,2011,Lack of Coping Capabilities,49.78
Ghana,9.32,16.38,56.88,41.6,78.75,50.29,2021,0,,,Portugal,2011,Lack of Adaptive Capacities,31.43
Sierra Leone,9.4,13.65,68.87,55.15,85.39,66.07,2021,0,,,United Kingdom,2011,WRI,3.61
Japan,9.66,38.51,25.09,17.92,39.42,17.94,2021,2,,,United Kingdom,2011,Exposure,11.61
Senegal,9.79,16.5,59.31,44.64,77.87,55.42,2021,0,,,United Kingdom,2011,Vulnerability,31.11
Côte d'Ivoire,9.98,15.57,64.1,47.26,85.61,59.43,2021,0,,,United Kingdom,2011,Susceptibility,15.51
Vietnam,10.27,22.04,46.6,23.73,76.73,39.34,2021,2,,,United Kingdom,2011,Lack of Coping Capabilities,47.55
Angola,10.28,15.61,65.86,52.89,86.89,57.8,2021,0,,,United Kingdom,2011,Lack of Adaptive Capacities,30.25
Kenya,10.33,16.63,62.13,50.8,85.5,50.1,2021,0,,,Russia,2011,WRI,3.56
Burundi,10.42,14.88,70.02,62.29,90.43,57.34,2021,0,,,Russia,2011,Exposure,9.07
Madagascar,10.44,14.97,69.71,65.83,86.32,56.97,2021,0,,,Russia,2011,Vulnerability,39.27
Indonesia,10.67,21.3,50.1,26.06,78.71,45.54,2021,2,,,Russia,2011,Susceptibility,19.88
Mali,10.71,15.61,68.64,49.75,88.6,67.58,2021,0,,,Russia,2011,Lack of Coping Capabilities,59.48
Togo,10.99,16.6,66.23,55.77,86.14,56.79,2021,0,,,Russia,2011,Lack of Adaptive Capacities,38.45
Burkina Faso,11.19,16.59,67.48,57.08,84.39,60.98,2021,0,,,Belgium,2011,WRI,3.51
Honduras,11.23,20.66,54.35,31.62,85.74,45.68,2021,1,,,Belgium,2011,Exposure,11.82
Chile,11.32,32.51,34.83,17.79,59.44,27.25,2021,1,,,Belgium,2011,Vulnerability,29.66
Dominican Rep.,11.49,24.72,46.48,23.35,78.34,37.76,2021,1,,,Belgium,2011,Susceptibility,15.03
Benin,11.71,17.92,65.33,54.09,81.42,60.49,2021,0,,,Belgium,2011,Lack of Coping Capabilities,42.05
Chad,11.94,15.76,75.75,64.96,92.16,70.13,2021,0,,,Belgium,2011,Lack of Adaptive Capacities,31.92
Jamaica,12.02,25.92,46.37,24.92,74.52,39.67,2021,1,,,Cyprus,2011,WRI,3.46
Gambia,12.4,19.75,62.78,43.58,83.02,61.73,2021,0,,,Cyprus,2011,Exposure,10.62
Uruguay,12.53,35.97,34.83,19.22,54.25,31.01,2021,1,,,Cyprus,2011,Vulnerability,32.63
Nigeria,12.66,19.64,64.46,49.7,88.58,55.1,2021,0,,,Cyprus,2011,Susceptibility,15.1
Cameroon,13.07,20.35,64.21,47.38,88.58,56.66,2021,0,,,Cyprus,2011,Lack of Coping Capabilities,50.09
Guinea-Bissau,13.39,18.88,70.92,60.17,89.2,63.39,2021,0,,,Cyprus,2011,Lack of Adaptive Capacities,32.69
Niger,13.9,19.27,72.15,61.72,87.91,66.83,2021,0,,,Mongolia,2011,WRI,3.43
Nicaragua,14.12,26.02,54.25,32.27,83.29,47.19,2021,1,,,Mongolia,2011,Exposure,6.99
Haiti,14.54,21.41,67.91,49.93,90.36,63.44,2021,1,,,Mongolia,2011,Vulnerability,49.13
Comoros,14.91,23.62,63.13,45.93,85.39,58.06,2021,0,,,Mongolia,2011,Susceptibility,35.15
Kiribati,15.14,26.41,57.34,39.67,82.82,49.52,2021,4,,,Mongolia,2011,Lack of Coping Capabilities,67.53
El Salvador,15.32,31.62,48.46,24.31,78.66,42.41,2021,1,,,Mongolia,2011,Lack of Adaptive Capacities,44.7
